cluster,valid_utc,model,metar_changed,pws_live,consistency_residual,persistence_brier,q_actual,q_brier,q_log_loss,q_top_correct,q_minus_persistence_brier
ankara/2026-06-10,2026-06-10T13:50:00+00:00,recorded_legacy,False,False,0.0033936686511736314,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-10,2026-06-10T14:20:00+00:00,recorded_legacy,True,False,0.00042904650856112614,2.0,0.13283120624514894,1.3076183832176889,2.018676082759114,0.0,-0.6923816167823111
ankara/2026-06-10,2026-06-10T14:50:00+00:00,recorded_legacy,False,False,0.18164932534607814,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,True,False,0.4109430174672261,2.0,0.17845903705790295,1.1121861457886142,1.7233961883674387,0.0,-0.8878138542113858
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,False,False,0.11687910973544585,0.0,0.4993087936570239,0.3561753289973175,0.6945305496598554,1.0,0.3561753289973175
ankara/2026-06-11,2026-06-11T11:20:00+00:00,recorded_legacy,False,False,0.08442256922388947,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T11:50:00+00:00,recorded_legacy,True,False,0.12867515985019218,2.0,0.17845903705790295,1.1121861457886142,1.7233961883674387,0.0,-0.8878138542113858
ankara/2026-06-11,2026-06-11T12:20:00+00:00,recorded_legacy,True,False,0.1814317176399015,2.0,0.178459037057903,1.1121861457886142,1.7233961883674382,0.0,-0.8878138542113858
ankara/2026-06-11,2026-06-11T12:50:00+00:00,recorded_legacy,False,False,0.0032616719029983335,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T13:20:00+00:00,recorded_legacy,False,False,0.0032081341918809626,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T13:50:00+00:00,recorded_legacy,False,False,0.18184033575087044,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T14:20:00+00:00,recorded_legacy,False,False,0.13326025275371134,0.0,0.7334794944925804,0.10632180672282603,0.30995563749187205,1.0,0.10632180672282603
ankara/2026-06-11,2026-06-11T14:50:00+00:00,recorded_legacy,False,False,0.0004290465085609687,0.0,0.7334794944925804,0.10632180672282603,0.30995563749187205,1.0,0.10632180672282603
ankara/2026-06-11,2026-06-11T15:20:00+00:00,recorded_legacy,False,False,0.18164932534607814,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T15:50:00+00:00,recorded_legacy,False,False,0.18215868642552446,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-11,2026-06-11T16:20:00+00:00,recorded_legacy,True,False,0.13326025275371134,2.0,0.13283120624514727,1.3076183832176924,2.0186760827591264,0.0,-0.6923816167823076
cape-town/2026-06-13,2026-06-13T11:00:00+00:00,recorded_kalman,True,True,0.0016937552290567197,2.0,0.0,1.9215132533546355,27.631021115928547,0.0,-0.07848674664536448
istanbul/2026-05-16,2026-05-16T11:50:00+00:00,recorded_legacy,True,True,0.579774839976956,2.0,0.31066763349531856,0.8774317489887382,1.1690316408601036,0.0,-1.1225682510112618
