cluster,ts,model,bucket,model_p,market_p,realized,event,consistency_residual
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,exact:27,0.2719,0.525,1,ankara/2026-06-11/2026-06-11T10:20:00+00:00,0.4109430174672261
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,exact:28,0.0102,0.0895,0,ankara/2026-06-11/2026-06-11T10:20:00+00:00,0.4109430174672261
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,exact:29,0.0002,0.010000000000000002,0,ankara/2026-06-11/2026-06-11T10:20:00+00:00,0.4109430174672261
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,exact:30,0.0,0.0025000000000000005,0,ankara/2026-06-11/2026-06-11T10:20:00+00:00,0.4109430174672261
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,exact:25,0.0,0.0015000000000000005,0,ankara/2026-06-11/2026-06-11T10:50:00+00:00,0.11687910973544585
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,exact:26,0.3892,0.15500000000000003,0,ankara/2026-06-11/2026-06-11T10:50:00+00:00,0.11687910973544585
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,exact:27,0.5653,0.6699999999999999,1,ankara/2026-06-11/2026-06-11T10:50:00+00:00,0.11687910973544585
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,exact:28,0.0454,0.1315,0,ankara/2026-06-11/2026-06-11T10:50:00+00:00,0.11687910973544585
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,exact:29,0.0001,0.010500000000000002,0,ankara/2026-06-11/2026-06-11T10:50:00+00:00,0.11687910973544585
ankara/2026-06-11,2026-06-11T10:50:00+00:00,recorded_legacy,exact:30,0.0,0.0015000000000000005,0,ankara/2026-06-11/2026-06-11T10:50:00+00:00,0.11687910973544585
ankara/2026-06-11,2026-06-11T11:20:00+00:00,recorded_legacy,exact:26,0.7120000000000001,0.235,0,ankara/2026-06-11/2026-06-11T11:20:00+00:00,0.08442256922388947
ankara/2026-06-11,2026-06-11T11:20:00+00:00,recorded_legacy,exact:27,0.27740000000000004,0.715,1,ankara/2026-06-11/2026-06-11T11:20:00+00:00,0.08442256922388947
ankara/2026-06-11,2026-06-11T11:20:00+00:00,recorded_legacy,exact:28,0.010500000000000002,0.04450000000000002,0,ankara/2026-06-11/2026-06-11T11:20:00+00:00,0.08442256922388947
ankara/2026-06-11,2026-06-11T11:20:00+00:00,recorded_legacy,exact:29,0.00010000000000000002,0.006500000000000002,0,ankara/2026-06-11/2026-06-11T11:20:00+00:00,0.08442256922388947
ankara/2026-06-11,2026-06-11T11:50:00+00:00,recorded_legacy,exact:27,0.1618,0.535,1,ankara/2026-06-11/2026-06-11T11:50:00+00:00,0.12867515985019218
ankara/2026-06-11,2026-06-11T11:50:00+00:00,recorded_legacy,exact:28,0.002,0.05400000000000002,0,ankara/2026-06-11/2026-06-11T11:50:00+00:00,0.12867515985019218
ankara/2026-06-11,2026-06-11T11:50:00+00:00,recorded_legacy,exact:29,0.0,0.0035000000000000005,0,ankara/2026-06-11/2026-06-11T11:50:00+00:00,0.12867515985019218
ankara/2026-06-11,2026-06-11T12:20:00+00:00,recorded_legacy,exact:27,0.9987,0.89,1,ankara/2026-06-11/2026-06-11T12:20:00+00:00,0.1814317176399015
ankara/2026-06-11,2026-06-11T12:20:00+00:00,recorded_legacy,exact:28,0.0013,0.092,0,ankara/2026-06-11/2026-06-11T12:20:00+00:00,0.1814317176399015
ankara/2026-06-11,2026-06-11T12:20:00+00:00,recorded_legacy,exact:29,0.0,0.005,0,ankara/2026-06-11/2026-06-11T12:20:00+00:00,0.1814317176399015
ankara/2026-06-11,2026-06-11T12:50:00+00:00,recorded_legacy,exact:27,1.0,0.9844999999999999,1,ankara/2026-06-11/2026-06-11T12:50:00+00:00,0.0032616719029983335
ankara/2026-06-11,2026-06-11T12:50:00+00:00,recorded_legacy,exact:28,0.0,0.015000000000000005,0,ankara/2026-06-11/2026-06-11T12:50:00+00:00,0.0032616719029983335
ankara/2026-06-11,2026-06-11T12:50:00+00:00,recorded_legacy,exact:29,0.0,0.006500000000000001,0,ankara/2026-06-11/2026-06-11T12:50:00+00:00,0.0032616719029983335
ankara/2026-06-11,2026-06-11T13:20:00+00:00,recorded_legacy,exact:27,1.0,0.991,1,ankara/2026-06-11/2026-06-11T13:20:00+00:00,0.0032081341918809626
ankara/2026-06-11,2026-06-11T13:20:00+00:00,recorded_legacy,exact:28,0.0,0.0055000000000000005,0,ankara/2026-06-11/2026-06-11T13:20:00+00:00,0.0032081341918809626
ankara/2026-06-11,2026-06-11T13:20:00+00:00,recorded_legacy,exact:29,0.0,0.0025000000000000005,0,ankara/2026-06-11/2026-06-11T13:20:00+00:00,0.0032081341918809626
ankara/2026-06-11,2026-06-11T13:50:00+00:00,recorded_legacy,exact:27,0.0,0.9755,1,ankara/2026-06-11/2026-06-11T13:50:00+00:00,0.18184033575087044
ankara/2026-06-11,2026-06-11T13:50:00+00:00,recorded_legacy,exact:28,0.0,0.018000000000000006,0,ankara/2026-06-11/2026-06-11T13:50:00+00:00,0.18184033575087044
ankara/2026-06-11,2026-06-11T13:50:00+00:00,recorded_legacy,exact:29,0.0,0.0015000000000000005,0,ankara/2026-06-11/2026-06-11T13:50:00+00:00,0.18184033575087044
ankara/2026-06-11,2026-06-11T14:20:00+00:00,recorded_legacy,exact:27,0.0,0.979,1,ankara/2026-06-11/2026-06-11T14:20:00+00:00,0.13326025275371134
ankara/2026-06-11,2026-06-11T14:20:00+00:00,recorded_legacy,exact:28,0.0,0.01950000000000001,0,ankara/2026-06-11/2026-06-11T14:20:00+00:00,0.13326025275371134
ankara/2026-06-11,2026-06-11T14:50:00+00:00,recorded_legacy,exact:27,1.0,0.9915,1,ankara/2026-06-11/2026-06-11T14:50:00+00:00,0.0004290465085609687
ankara/2026-06-11,2026-06-11T14:50:00+00:00,recorded_legacy,exact:28,0.0,0.007500000000000002,0,ankara/2026-06-11/2026-06-11T14:50:00+00:00,0.0004290465085609687
ankara/2026-06-11,2026-06-11T15:20:00+00:00,recorded_legacy,exact:27,0.0,0.993,1,ankara/2026-06-11/2026-06-11T15:20:00+00:00,0.18164932534607814
ankara/2026-06-11,2026-06-11T15:20:00+00:00,recorded_legacy,exact:28,0.0,0.003500000000000001,0,ankara/2026-06-11/2026-06-11T15:20:00+00:00,0.18164932534607814
istanbul/2026-05-16,2026-05-16T11:50:00+00:00,recorded_legacy,exact:24,0.0,0.22999999999999998,0,istanbul/2026-05-16/2026-05-16T11:50:00+00:00,0.579774839976956
istanbul/2026-05-16,2026-05-16T11:50:00+00:00,recorded_legacy,higher:25,1.0,0.775,1,istanbul/2026-05-16/2026-05-16T11:50:00+00:00,0.579774839976956
istanbul/2026-05-24,2026-05-24T10:50:00+00:00,recorded_legacy,exact:19,0.8439,0.625,0,istanbul/2026-05-24/2026-05-24T10:50:00+00:00,0.09244095738699198
istanbul/2026-05-24,2026-05-24T10:50:00+00:00,recorded_legacy,exact:20,0.152,0.255,1,istanbul/2026-05-24/2026-05-24T10:50:00+00:00,0.09244095738699198
istanbul/2026-05-24,2026-05-24T10:50:00+00:00,recorded_legacy,exact:21,0.004,0.08050000000000002,0,istanbul/2026-05-24/2026-05-24T10:50:00+00:00,0.09244095738699198
istanbul/2026-05-24,2026-05-24T10:50:00+00:00,recorded_legacy,exact:22,0.0001,0.024500000000000004,0,istanbul/2026-05-24/2026-05-24T10:50:00+00:00,0.09244095738699198
istanbul/2026-05-24,2026-05-24T10:50:00+00:00,recorded_legacy,higher:23,0,0.0035000000000000014,0,istanbul/2026-05-24/2026-05-24T10:50:00+00:00,0.09244095738699198
istanbul/2026-05-24,2026-05-24T11:20:00+00:00,recorded_legacy,exact:20,0.9996,0.855,1,istanbul/2026-05-24/2026-05-24T11:20:00+00:00,0.0045248917388792664
istanbul/2026-05-24,2026-05-24T11:20:00+00:00,recorded_legacy,exact:21,0.0004,0.1355,0,istanbul/2026-05-24/2026-05-24T11:20:00+00:00,0.0045248917388792664
istanbul/2026-05-24,2026-05-24T11:20:00+00:00,recorded_legacy,exact:22,0.0,0.007000000000000003,0,istanbul/2026-05-24/2026-05-24T11:20:00+00:00,0.0045248917388792664
istanbul/2026-05-24,2026-05-24T11:20:00+00:00,recorded_legacy,higher:23,0,0.002500000000000001,0,istanbul/2026-05-24/2026-05-24T11:20:00+00:00,0.0045248917388792664
istanbul/2026-05-24,2026-05-24T12:20:00+00:00,recorded_legacy,exact:20,0.9907,0.79,1,istanbul/2026-05-24/2026-05-24T12:20:00+00:00,0.08546123672312778
istanbul/2026-05-24,2026-05-24T12:20:00+00:00,recorded_legacy,exact:21,0.0093,0.14350000000000002,0,istanbul/2026-05-24/2026-05-24T12:20:00+00:00,0.08546123672312778
istanbul/2026-05-24,2026-05-24T12:20:00+00:00,recorded_legacy,exact:22,0.0,0.023000000000000003,0,istanbul/2026-05-24/2026-05-24T12:20:00+00:00,0.08546123672312778
